mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin
17	16	61	61	0.0		0	0	Dynamic	4/4	3	1	0						f										
17	16	61	61	0.25		0	0	Chord	4/4	3	1	1/16			1/16	1	245											
17	16	245/4	245/4	0.25		1/16	1/16	Chord	4/4	3	1	1/16			1/16	1	246											
17	16	123/2	123/2	0.25		1/8	1/8	Chord	4/4	3	1	1/16			1/16	1	247											
17	16	247/4	247/4	0.25		3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	248											
17	16	62	62	1.0		1/4	1/4	Chord	4/4	3	1	1/4		r16	1/4	1	249											
17	16	63	63	2.0		1/2	1/2	Chord	4/4	3	1	1/2		r16	1/2	1	250											
17	16	61	61	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	251											
17	16	123/2	123/2	0.0		1/8	1/8	Dynamic	4/4	4	1	0						f										
17	16	123/2	123/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	252											
17	16	62	62	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	253											
17	16	125/2	125/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	254											
17	16	63	63	2.0		1/2	1/2	Chord	4/4	4	1	1/2		r8	1/2	1	255											
18	17	65	65	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	256											
18	17	66	66	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	257											
18	17	67	67	1.5		1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	258									33		
18	17	137/2	137/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	259											
18	17	65	65	2.0		0	0	Chord	4/4	2	1	1/2		r16	1/2	1	260											
18	17	67	67	2.0		1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	261											
18	17	65	65	2.0		0	0	Chord	4/4	3	1	1/2		r16	1/2	1	262											
18	17	67	67	2.0		1/2	1/2	Chord	4/4	3	1	1/2		r16	1/2	1	263											
18	17	65	65	2.0		0	0	Chord	4/4	4	1	1/2		r8	1/2	1	264											
18	17	67	67	2.0		1/2	1/2	Chord	4/4	4	1	1/2		r8	1/2	1	265											
19	18	69	69	0.0		0	0	Chord	4/4	1	1	0	grace16		1/16	1	266											
19	18	69	69	0.0		0	0	Chord	4/4	1	1	0	grace16		1/16	1	267											
19	18	69	69	0.0		0	0	Chord	4/4	1	1	0	grace16		1/16	1	268											
19	18	69	69	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	269											
19	18	139/2	139/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	270											
19	18	70	70	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	271											
19	18	143/2	143/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	272											
19	18	72	72	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	273											
19	18	145/2	145/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	274											
19	18	69	69	2.0		0	0	Chord	4/4	2	1	1/2		r16	1/2	1	275											
19	18	71	71	2.0		1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	276											
19	18	69	69	2.0		0	0	Chord	4/4	3	1	1/2		r16	1/2	1	277											
19	18	71	71	2.0		1/2	1/2	Chord	4/4	3	1	1/2		r16	1/2	1	278											
19	18	69	69	2.0		0	0	Chord	4/4	4	1	1/2		r8	1/2	1	279											
19	18	71	71	2.0		1/2	1/2	Chord	4/4	4	1	1/2		r8	1/2	1	280											
20	19	73	73	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	281											
20	19	75	75	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	282											
20	19	73	73	2.0		0	0	Chord	4/4	2	1	1/2		r16	1/2	1	283											
20	19	75	75	2.0		1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	284											
20	19	73	73	2.0		0	0	Chord	4/4	3	1	1/2		r16	1/2	1	285											
20	19	75	75	2.0		1/2	1/2	Chord	4/4	3	1	1/2		r16	1/2	1	286											
20	19	73	73	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	287											
20	19	147/2	147/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	288											
20	19	74	74	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	289											
20	19	149/2	149/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	290											
20	19	75	75	2.0		1/2	1/2	Chord	4/4	4	1	1/2		r8	1/2	1	291											
21	20	77	77	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	292											
21	20	78	78	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	293											
21	20	79	79	1.5		1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	294									34		
21	20	161/2	161/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	295											
21	20	77	77	2.0		0	0	Chord	4/4	2	1	1/2		r16	1/2	1	296											
21	20	79	79	2.0		1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	297											
21	20	77	77	2.0		0	0	Chord	4/4	3	1	1/2		r16	1/2	1	298											
21	20	79	79	2.0		1/2	1/2	Chord	4/4	3	1	1/2		r16	1/2	1	299											
