mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin
7	6	23	23	0.0		1/2	1/2	Spanner	4/4	1	1	0																2
7	6	23	23	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	75											2
7	6	21	21	0.0		0	0	Spanner	4/4	2	1	0																
7	6	21	21	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	76											
7	6	43/2	43/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	77											
7	6	22	22	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	78											
7	6	45/2	45/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	79											
7	6	23	23	0.0		1/2	1/2	Dynamic	4/4	2	1	0						other-dynamics										
7	6	23	23	0.0		1/2	1/2	Spanner	4/4	2	1	0																3
7	6	23	23	2.0		1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	80											3
7	6	21	21	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	81											
7	6	21	21	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	82											
7	6	47/2	47/2	0.25		5/8	5/8	Chord	4/4	4	1	1/16			1/16	1	83									13		
7	6	95/4	95/4	0.25		11/16	11/16	Chord	4/4	4	1	1/16			1/16	1	84											
7	6	24	24	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	85		articStaccatoAbove									
7	6	49/2	49/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	86		articStaccatoAbove									
8	7	25	25	0.0		0	0	Spanner	4/4	1	1	0																
8	7	25	25	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	87									14		
8	7	51/2	51/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4			1/4	1	88									14		
8	7	53/2	53/2	1.0		3/8	3/8	Chord	4/4	1	1	1/4			1/4	1	89									14		
8	7	55/2	55/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4			1/4	1	90									14		
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	91											
8	7	25	25	0.0		0	0	Spanner	4/4	2	1	0																
8	7	25	25	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	92											
8	7	51/2	51/2	1.0		1/8	1/8	Chord	4/4	2	1	1/4			1/4	1	93											
8	7	53/2	53/2	1.0		3/8	3/8	Chord	4/4	2	1	1/4			1/4	1	94											
8	7	55/2	55/2	1.0		5/8	5/8	Chord	4/4	2	1	1/4			1/4	1	95											
8	7	57/2	57/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	96											
8	7	25	25	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	97											
8	7	26	26	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	98											
8	7	27	27	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	99											
8	7	28	28	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	100											
8	7	25	25	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	101											
8	7	26	26	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	102											
8	7	27	27	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	103											
8	7	28	28	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	104											
9	8	29	29	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	105									15		
9	8	31	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	106		articStaccatoAbove									
9	8	29	29	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	107									16		
9	8	31	31	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	108											
9	8	29	29	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	109											
9	8	31	31	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	110											
9	8	32	32	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	111		articStaccatoBelow									
9	8	131/4	131/4	0.25		15/16	15/16	Chord	4/4	3	1	1/16			1/16	1	112		articStaccatoBelow									
9	8	29	29	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	113											
9	8	31	31	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	114											
9	8	32	32	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	115											
9	8	131/4	131/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	116											
10	9	33	33	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	117											
10	9	34	34	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	118									17		
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	119											
10	9	35	35	1.5		1/2	1/2	Chord	4/4	3	1	3/8			1/4	3/2	120									18		
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	121											
10	9	33	33	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	122									19		
10	9	67/2	67/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	123									19		
10	9	34	34	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	124									19		
10	9	69/2	69/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	125											
10	9	35	35	1.5		1/2	1/2	Chord	4/4	4	1	3/8			1/4	3/2	126									20		
10	9	73/2	73/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	127											
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	128		articStaccatoAbove									
11	10	38	38	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	129		articStaccatoAbove									
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	130		articStaccatoAbove									
11	10	39	39	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	131											
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	132		articStaccatoAbove									
11	10	38	38	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	133		articStaccatoAbove									
11	10	77/2	77/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	134		articStaccatoAbove									
11	10	39	39	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	135											
11	10	37	37	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	136									21		
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	137											
11	10	38	38	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	138											
11	10	40	40	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	139		articStaccatoBelow									
11	10	163/4	163/4	0.25		15/16	15/16	Chord	4/4	3	1	1/16			1/16	1	140		articStaccatoBelow									
11	10	37	37	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	141									22		
11	10	75/2	75/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	142											
11	10	38	38	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	143											
11	10	40	40	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	144		articStaccatoAbove									
11	10	163/4	163/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	145		articStaccatoAbove									
12	11	41	41	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	146											
12	11	42	42	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	147									23		
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	148											
12	11	43	43	1.5		1/2	1/2	Chord	4/4	3	1	3/8			1/4	3/2	149									24		
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	150											
12	11	41	41	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	151									25		
12	11	83/2	83/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	152									25		
12	11	42	42	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	153									25		
12	11	85/2	85/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	154											
12	11	43	43	1.5		1/2	1/2	Chord	4/4	4	1	3/8			1/4	3/2	155									26		
12	11	89/2	89/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	156											
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	157		articStaccatoAbove									
