mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
4	4	12	12	4.0	0	0	Chord	2/2	1	1	1			1	1	43										
4	4	12	12	4.0	0	0	Chord	2/2	2	1	1			1	1	44										
4	4	12	12	0.0	0	0	StaffText	2/2	3	1	0								"<font size=""6.4""/><i>poco </i>"							
4	4	12	12	0.0	0	0	Dynamic	2/2	3	1	0						f									
4	4	12	12	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	45										
4	4	13	13	0.75	1/4	1/4	Chord	2/2	3	1	3/16			1/8	3/2	46										
4	4	55/4	55/4	0.25	7/16	7/16	Chord	2/2	3	1	1/16			1/16	1	47										
4	4	14	14	1.5	1/2	1/2	Chord	2/2	3	1	3/8			1/4	3/2	48									2	
4	4	31/2	31/2	0.25	7/8	7/8	Chord	2/2	3	1	1/16			1/16	1	49									2	
4	4	63/4	63/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	50										
4	4	12	12	0.0	0	0	StaffText	2/2	4	1	0								"<font size=""6.4""/><i>poco </i>"							
4	4	12	12	0.0	0	0	Dynamic	2/2	4	1	0						f									
4	4	12	12	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	51										
4	4	13	13	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	52										
4	4	55/4	55/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	53										
4	4	14	14	1.5	1/2	1/2	Chord	2/2	4	1	3/8			1/4	3/2	54									3	
4	4	31/2	31/2	0.25	7/8	7/8	Chord	2/2	4	1	1/16			1/16	1	55									3	
4	4	63/4	63/4	0.25	15/16	15/16	Chord	2/2	4	1	1/16			1/16	1	56										
5	5	16	16	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	57										
5	5	33/2	33/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	58										
5	5	17	17	1.5	1/4	1/4	Chord	2/2	1	1	3/8			1/4	3/2	59										
5	5	37/2	37/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	60									4	
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	61									4	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	62										
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	63									5	
5	5	18	18	2.0	1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	64										
5	5	16	16	2.0	0	0	Chord	2/2	3	1	1/2			1/2	1	65									6	
5	5	18	18	2.0	1/2	1/2	Chord	2/2	3	1	1/2			1/2	1	66										
5	5	16	16	2.0	0	0	Chord	2/2	4	1	1/2			1/2	1	67									7	
5	5	18	18	2.0	1/2	1/2	Chord	2/2	4	1	1/2			1/2	1	68										
6	6	20	20	0.0	0	0	Chord	2/2	1	1	0	appoggiatura		1/8	1	69										
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	70										
6	6	21	21	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	71										
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	72									8	
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	73										
6	6	20	20	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	74										
6	6	21	21	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	75										
6	6	20	20	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	76										
6	6	21	21	1.0	1/4	1/4	Chord	2/2	3	1	1/4			1/4	1	77										
6	6	20	20	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	78									9	
6	6	21	21	1.0	1/4	1/4	Chord	2/2	4	1	1/4			1/4	1	79										
6	6	22	22	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	80										
7	7	24	24	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	81										
7	7	49/2	49/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	82										
7	7	25	25	2.0	1/4	1/4	Chord	2/2	1	1	1/2			1/2	1	83										
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	84										
7	7	24	24	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	85										
7	7	25	25	0.75	1/4	1/4	Chord	2/2	2	1	3/16			1/8	3/2	86										
7	7	103/4	103/4	0.25	7/16	7/16	Chord	2/2	2	1	1/16			1/16	1	87										
7	7	26	26	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	88										
7	7	27	27	0.75	3/4	3/4	Chord	2/2	2	1	3/16			1/8	3/2	89										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16			1/16	1	90										
7	7	26	26	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	91										
7	7	27	27	0.75	3/4	3/4	Chord	2/2	3	1	3/16			1/8	3/2	92										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	93										
7	7	24	24	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	94										
7	7	25	25	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	95										
7	7	103/4	103/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	96										
7	7	26	26	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	97										
7	7	27	27	0.75	3/4	3/4	Chord	2/2	4	1	3/16			1/8	3/2	98										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	2/2	4	1	1/16			1/16	1	99										
8	8	28	28	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	100									10	
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	101										
8	8	29	29	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	102										
8	8	30	30	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12			1/8	2/3	103										
8	8	91/3	91/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12			1/8	2/3	104		articStaccatoAbove								
8	8	92/3	92/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12			1/8	2/3	105		articStaccatoAbove								
8	8	31	31	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12			1/8	2/3	106		articStaccatoAbove								
8	8	94/3	94/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12			1/8	2/3	107		articStaccatoAbove								
8	8	95/3	95/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12			1/8	2/3	108		articStaccatoAbove								
8	8	28	28	3.0	0	0	Chord	2/2	2	1	3/4			1/2	3/2	109									11	
8	8	31	31	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	110										
8	8	28	28	0.5	0	0	Chord	2/2	3	1	1/8			1/8	1	111									12	
8	8	57/2	57/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8			1/8	1	112										
8	8	29	29	2.0	1/4	1/4	Chord	2/2	3	1	1/2			1/2	1	113										
8	8	31	31	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	114										
8	8	28	28	4.0	0	0	Chord	2/2	4	1	1			1	1	115										
9	9	32	32	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	116										
9	9	65/2	65/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	117										
9	9	33	33	2.0	1/4	1/4	Chord	2/2	1	1	1/2			1/2	1	118										
9	9	35	35	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	119										
9	9	32	32	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	120										
9	9	65/2	65/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	121										
9	9	33	33	2.0	1/4	1/4	Chord	2/2	2	1	1/2			1/2	1	122										
9	9	35	35	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	123										
9	9	32	32	2.0	0	0	Chord	2/2	3	1	1/2			1/2	1	124									13	
9	9	34	34	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	125									13	
9	9	35	35	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	126										
9	9	32	32	2.0	0	0	Chord	2/2	4	1	1/2			1/2	1	127										
9	9	34	34	2.0	1/2	1/2	Chord	2/2	4	1	1/2			1/2	1	128										
10	10	36	36	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	129										
10	10	37	37	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	130										
10	10	38	38	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	131										
10	10	36	36	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	132										
10	10	37	37	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	133										
10	10	38	38	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	134										
10	10	36	36	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	135										
10	10	37	37	1.0	1/4	1/4	Chord	2/2	3	1	1/4			1/4	1	136										
10	10	38	38	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	137										
10	10	36	36	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	138										
10	10	37	37	1.0	1/4	1/4	Chord	2/2	4	1	1/4			1/4	1	139										
10	10	38	38	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	140										
11	11	42	42	0.0	1/2	1/2	Dynamic	2/2	1	1	0						p									
11	11	42	42	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	141									14	
11	11	43	43	0.25	3/4	3/4	Chord	2/2	1	1	1/16			1/16	1	142									14	
11	11	173/4	173/4	0.125	13/16	13/16	Chord	2/2	1	1	1/32			1/32	1	143									14	
11	11	347/8	347/8	0.125	27/32	27/32	Chord	2/2	1	1	1/32			1/32	1	144										
11	11	87/2	87/2	0.125	7/8	7/8	Chord	2/2	1	1	1/32			1/32	1	145									15	
11	11	349/8	349/8	0.125	29/32	29/32	Chord	2/2	1	1	1/32			1/32	1	146									15	
11	11	175/4	175/4	0.125	15/16	15/16	Chord	2/2	1	1	1/32			1/32	1	147									15	
11	11	351/8	351/8	0.125	31/32	31/32	Chord	2/2	1	1	1/32			1/32	1	148										
11	11	42	42	0.0	1/2	1/2	Dynamic	2/2	2	1	0						p									
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	149									16	
11	11	43	43	0.25	3/4	3/4	Chord	2/2	2	1	1/16			1/16	1	150									16	
11	11	173/4	173/4	0.125	13/16	13/16	Chord	2/2	2	1	1/32			1/32	1	151									16	
11	11	347/8	347/8	0.125	27/32	27/32	Chord	2/2	2	1	1/32			1/32	1	152										
11	11	87/2	87/2	0.125	7/8	7/8	Chord	2/2	2	1	1/32			1/32	1	153									17	
11	11	349/8	349/8	0.125	29/32	29/32	Chord	2/2	2	1	1/32			1/32	1	154									17	
11	11	175/4	175/4	0.125	15/16	15/16	Chord	2/2	2	1	1/32			1/32	1	155									17	
11	11	351/8	351/8	0.125	31/32	31/32	Chord	2/2	2	1	1/32			1/32	1	156										
11	11	40	40	0.0	0	0	Dynamic	2/2	4	1	0						p									
11	11	40	40	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	157										
11	11	41	41	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	158										
11	11	167/4	167/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	159										
11	11	42	42	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	160										
12	12	44	44	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	161										
12	12	46	46	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	162										
12	12	47	47	0.25	3/4	3/4	Chord	2/2	1	1	1/16			1/16	1	163										
12	12	189/4	189/4	0.125	13/16	13/16	Chord	2/2	1	1	1/32			1/32	1	164									18	
12	12	379/8	379/8	0.125	27/32	27/32	Chord	2/2	1	1	1/32			1/32	1	165										
12	12	95/2	95/2	0.125	7/8	7/8	Chord	2/2	1	1	1/32			1/32	1	166									19	
12	12	381/8	381/8	0.125	29/32	29/32	Chord	2/2	1	1	1/32			1/32	1	167									19	
12	12	191/4	191/4	0.125	15/16	15/16	Chord	2/2	1	1	1/32			1/32	1	168									19	
12	12	383/8	383/8	0.125	31/32	31/32	Chord	2/2	1	1	1/32			1/32	1	169										
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	170										
12	12	46	46	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	171										
12	12	47	47	0.25	3/4	3/4	Chord	2/2	2	1	1/16			1/16	1	172										
12	12	189/4	189/4	0.125	13/16	13/16	Chord	2/2	2	1	1/32			1/32	1	173									20	
12	12	379/8	379/8	0.125	27/32	27/32	Chord	2/2	2	1	1/32			1/32	1	174										
12	12	95/2	95/2	0.125	7/8	7/8	Chord	2/2	2	1	1/32			1/32	1	175									21	
12	12	381/8	381/8	0.125	29/32	29/32	Chord	2/2	2	1	1/32			1/32	1	176									21	
12	12	191/4	191/4	0.125	15/16	15/16	Chord	2/2	2	1	1/32			1/32	1	177									21	
12	12	383/8	383/8	0.125	31/32	31/32	Chord	2/2	2	1	1/32			1/32	1	178										
12	12	44	44	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	179										
12	12	45	45	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	180										
12	12	183/4	183/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	181										
12	12	46	46	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	182										
13	13	48	48	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	183										
13	13	50	50	0.0	1/2	1/2	Dynamic	2/2	1	1	0						pp									
13	13	50	50	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	184										
13	13	51	51	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	185										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	186										
13	13	48	48	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	187										
13	13	50	50	0.0	1/2	1/2	Dynamic	2/2	2	1	0						pp									
13	13	50	50	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	188										
13	13	51	51	0.75	3/4	3/4	Chord	2/2	2	1	3/16			1/8	3/2	189										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16			1/16	1	190										
13	13	50	50	0.0	1/2	1/2	Dynamic	2/2	3	1	0						pp									
13	13	50	50	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	191										
13	13	51	51	0.75	3/4	3/4	Chord	2/2	3	1	3/16			1/8	3/2	192										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	193										
13	13	48	48	0.0	0	0	Dynamic	2/2	4	1	0						pp									
13	13	48	48	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	194										
13	13	49	49	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	195										
13	13	199/4	199/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	196										
13	13	50	50	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	197										
14	14	52	52	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	198										
14	14	54	54	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	199										
14	14	55	55	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	200										
14	14	223/4	223/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	201										
14	14	52	52	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	202										
14	14	54	54	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	203										
14	14	55	55	0.75	3/4	3/4	Chord	2/2	2	1	3/16			1/8	3/2	204										
14	14	223/4	223/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16			1/16	1	205										
14	14	52	52	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	206										
14	14	54	54	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	207										
14	14	55	55	0.75	3/4	3/4	Chord	2/2	3	1	3/16			1/8	3/2	208										
14	14	223/4	223/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	209										
14	14	52	52	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	210										
14	14	53	53	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	211										
14	14	215/4	215/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	212										
14	14	54	54	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	213										
15	15	56	56	0.0	0	0	StaffText	2/2	1	1	0								"<font size=""6.4""/><i>poco </i>"							
15	15	56	56	0.0	0	0	Dynamic	2/2	1	1	0						f									
15	15	56	56	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	214										
15	15	57	57	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	215										
15	15	231/4	231/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	216										
15	15	58	58	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	217										
15	15	59	59	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	218										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	219										
15	15	56	56	0.0	0	0	StaffText	2/2	2	1	0								"<font size=""6.4""/><i>poco </i>"							
15	15	56	56	0.0	0	0	Dynamic	2/2	2	1	0						f									
15	15	56	56	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	220										
15	15	57	57	0.75	1/4	1/4	Chord	2/2	2	1	3/16			1/8	3/2	221										
15	15	231/4	231/4	0.25	7/16	7/16	Chord	2/2	2	1	1/16			1/16	1	222										
15	15	58	58	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	223										
15	15	59	59	0.75	3/4	3/4	Chord	2/2	2	1	3/16			1/8	3/2	224										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16			1/16	1	225										
15	15	56	56	0.0	0	0	StaffText	2/2	3	1	0								"<font size=""6.4""/><i>poco </i>"							
15	15	56	56	0.0	0	0	Dynamic	2/2	3	1	0						f									
15	15	56	56	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	226										
15	15	57	57	0.75	1/4	1/4	Chord	2/2	3	1	3/16			1/8	3/2	227										
15	15	231/4	231/4	0.25	7/16	7/16	Chord	2/2	3	1	1/16			1/16	1	228										
15	15	58	58	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	229										
15	15	59	59	0.75	3/4	3/4	Chord	2/2	3	1	3/16			1/8	3/2	230										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	231										
15	15	56	56	0.0	0	0	StaffText	2/2	4	1	0								"<font size=""6.4""/><i>poco </i>"							
15	15	56	56	0.0	0	0	Dynamic	2/2	4	1	0						f									
15	15	56	56	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	232										
15	15	57	57	0.75	1/4	1/4	Chord	2/2	4	1	3/16			1/8	3/2	233										
15	15	231/4	231/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	234										
15	15	58	58	1.0	1/2	1/2	Chord	2/2	4	1	1/4			1/4	1	235										
15	15	59	59	0.75	3/4	3/4	Chord	2/2	4	1	3/16			1/8	3/2	236										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	2/2	4	1	1/16			1/16	1	237										
16	16	60	60	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	238										
16	16	60	60	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	239										
16	16	60	60	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	240										
16	16	61	61	0.0	1/4	1/4	Dynamic	2/2	3	1	0						p									
16	16	61	61	0.75	1/4	1/4	Chord	2/2	3	1	3/16			1/8	3/2	241										
16	16	247/4	247/4	0.25	7/16	7/16	Chord	2/2	3	1	1/16			1/16	1	242										
16	16	62	62	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	243										
16	16	63	63	0.75	3/4	3/4	Chord	2/2	3	1	3/16			1/8	3/2	244										
16	16	255/4	255/4	0.25	15/16	15/16	Chord	2/2	3	1	1/16			1/16	1	245										
16	16	60	60	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	246										
17	17	64	64	0.0	0	0	StaffText	2/2	1	1	0								"<font size=""6.4""/><i>dolce</i>"							
17	17	64	64	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	247									22	
17	17	131/2	131/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	248										
17	17	66	66	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	249									23	
17	17	133/2	133/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	250										
17	17	67	67	0.25	3/4	3/4	Chord	2/2	1	1	1/16			1/16	1	251										
17	17	269/4	269/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16			1/16	1	252										
17	17	135/2	135/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16			1/16	1	253										
17	17	271/4	271/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	254										
17	17	64	64	0.0	0	0	Dynamic	2/2	2	1	0						p									
17	17	64	64	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	255										
17	17	65	65	0.75	1/4	1/4	Chord	2/2	2	1	3/16			1/8	3/2	256										
17	17	263/4	263/4	0.25	7/16	7/16	Chord	2/2	2	1	1/16			1/16	1	257										
17	17	66	66	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	258										
17	17	67	67	0.75	3/4	3/4	Chord	2/2	2	1	3/16			1/8	3/2	259										
17	17	271/4	271/4	0.25	15/16	15/16	Chord	2/2	2	1	1/16			1/16	1	260										
17	17	64	64	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	261										
17	17	65	65	0.75	1/4	1/4	Chord	2/2	3	1	3/16			1/8	3/2	262										
