mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	4	1	g.i{	0	-5.5	/	g	i		i		i						{	m	1	1	1, -2, 2		1	1	6	10	0.375	0.75	1.75	0.3
2	2	0	0	3/4	4	1	iv				g	i		iv		iv							m	1	1	0, -3, 1		0	0	4	11	0.26666666666666666	0.375	2.125	0.15
3	3	0	0	3/4	4	1	V(64)				g	i		V(64)		V			64				M	1	1	2, 1, -2		2	2	6	8	0.42857142857142855	0.75	1.375	0.35294117647058826
3	3	5/8	5/8	3/4	4	1	V7	-0.6	-2.5	/	g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	3	0.0	0.0	0.375	0.0
4	4	0	0	3/4	4	1	i(94)}				g	i		i(94)		i			94			}	m	1	1	1, 0, 2	3	1	1	1	5	0.16666666666666666	0.5	0.75	0.4
4	4	1/4	1/4	3/4	4	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
4	4	1/2	1/2	3/4	4	1	V|HC				g	i		V		V					HC		M	1	1	2, 6, 3		2	2	1	4	0.2	0.125	0.875	0.125
5	5	0	0	3/4	4	1	i6{				g	i		i6		i		6				{	m	1	1	-2, 2, 1		1	-2	3	19	0.13636363636363635	0.1875	2.4375	0.07142857142857142
6	6	0	0	3/4	4	1	#viio65				g	i		#viio65		#vii	o	65					o7	1	1	3, 0, -3, 6		6	3	0	22	0.0	0.0	3.25	0.0
7	7	0	0	3/4	4	1	i6				g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	5	0.0	0.0	1.125	0.0
7	7	1/4	1/4	3/4	4	1	V43				g	i		V43		V		43					Mm7	1	1	3, 0, 2, 6		2	3	0	4	0.0	0.0	1.0	0.0
7	7	1/2	1/2	3/4	4	1	i(4)				g	i		i(4)		i			4				m	1	1	1, 0, 2		1	1	0	3	0.0	0.0	0.75	0.0
7	7	5/8	5/8	3/4	4	1	i				g	i		i		i							m	1	1	1, -2, 2		1	1	0	1	0.0	0.0	0.125	0.0
8	8	0	0	3/4	4	1	V(64)}				g	i		V(64)		V			64			}	M	1	1	2, 1, -2		2	2	2	5	0.2857142857142857	0.25	1.75	0.125
8	8	1/2	1/2	3/4	4	1	V|HC				g	i		V		V					HC		M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
9	9	0	0	3/4	4	1	III.I{				g	III		I		I						{	M	1	0	-2, 2, -1		-2	-2	1	3	0.25	0.125	0.625	0.16666666666666666
10	10	0	0	3/4	4	1	V				g	III		V		V							M	1	0	-1, 3, 0		-1	-1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
11	11	0	0	3/4	4	1	I				g	III		I		I							M	1	0	-2, 2, -1		-2	-2	2	6	0.25	0.25	1.25	0.16666666666666666
12	12	0	0	3/4	4	1	V7				g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
13	13	0	0	3/4	4	1	I				g	III		I		I							M	1	0	-2, 2, -1		-2	-2	2	7	0.2222222222222222	0.25	2.0	0.1111111111111111
14	14	0	0	3/4	4	1	V7				g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	2	11	0.15384615384615385	0.25	2.0	0.1111111111111111
15	15	0	0	3/4	4	1	I6				g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	2	11	0.15384615384615385	0.25	2.75	0.08333333333333333
16	16	0	0	3/4	4	1	V2				g	III		V2		V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	2	13	0.13333333333333333	0.25	2.75	0.08333333333333333
17	17	0	0	3/4	4	1	I6	0	-4.5	/	g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	6	12	0.3333333333333333	0.375	1.875	0.16666666666666666
18	18	0	0	3/4	4	1	IV(#2)	-1	-3.5	/	g	III		IV(#2)		IV			#2				M	1	0	-3, 6, -2		-3	-3	0	4	0.0	0.0	1.75	0.0
18	18	1/4	1/4	3/4	4	1	IV	0	-3.5	/	g	III		IV		IV							M	1	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.1875	0.0
18	18	1/2	1/2	3/4	4	1	V2	0	-3.5	/	g	III		V2		V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	1	6	0.14285714285714285	0.0625	0.9375	0.0625
19	19	0	0	3/4	4	1	I6	0	-3.5	/	g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	0	4	0.0	0.0	1.0	0.0
19	19	3/16	3/16	3/4	4	1	IV	0	-3.5	/	g	III		IV		IV							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.1875	0.0
19	19	1/4	1/4	3/4	4	1	V(64)	0	-3.5	/	g	III		V(64)		V			64				M	1	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	0.75	0.0
19	19	1/2	1/2	3/4	4	1	V7	0	-3.5	/	g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	0	4	0.0	0.0	1.0	0.0
20	20	0	0	3/4	4	1	I|PAC}	0	-3.5	/	g	III		I		I					PAC	}	M	1	0	-2, 2, -1		-2	-2	6	16	0.2727272727272727	0.75	4.0	0.15789473684210525
22	22	0	0	3/4	4	1	ii(4)				g	III		ii(4)		ii			4				m	1	0	0, -1, 1		0	0	2	3	0.4	0.25	0.75	0.25
22	22	1/4	1/4	3/4	4	1	ii				g	III		ii		ii							m	1	0	0, -3, 1		0	0	4	5	0.4444444444444444	0.5	0.75	0.4
23	23	0	0	3/4	4	1	V7				g	III		V7		V		7					Mm7	1	0	-1, 3, 0, -3		-1	-1	4	13	0.23529411764705882	0.5	2.0	0.2
24	24	0	0	3/4	4	1	I(4)}				g	III		I(4)		I			4			}	M	1	0	-2, -3, -1		-2	-2	2	3	0.4	0.25	0.75	0.25
24	24	1/4	1/4	3/4	4	1	I|IAC				g	III		I		I					IAC		M	1	0	-2, 2, -1		-2	-2	4	5	0.4444444444444444	0.5	0.75	0.4
25	25	0	0	3/4	4	1	I6{				g	III		I6		I		6				{	M	1	0	2, -1, -2		-2	2	2	15	0.11764705882352941	0.1875	2.6875	0.06521739130434782
26	26	0	0	3/4	4	1	V2(6)				g	III		V2(6)		V		2	6				Mm7	1	0	-3, -1, 3, 2		-1	-3	3	3	0.5	0.375	1.0	0.2727272727272727
26	26	1/4	1/4	3/4	4	1	V2				g	III		V2		V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	2	10	0.16666666666666666	0.25	1.25	0.16666666666666666
27	27	0	0	3/4	4	1	I6				g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	2	17	0.10526315789473684	0.125	2.75	0.043478260869565216
28	28	0	0	3/4	4	1	V2(6)				g	III		V2(6)		V		2	6				Mm7	1	0	-3, -1, 3, 2		-1	-3	3	3	0.5	0.375	1.0	0.2727272727272727
28	28	1/4	1/4	3/4	4	1	V2				g	III		V2		V		2					Mm7	1	0	-3, -1, 3, 0		-1	-3	1	11	0.08333333333333333	0.125	1.375	0.08333333333333333
29	29	0	0	3/4	4	1	I6				g	III		I6		I		6					M	1	0	2, -1, -2		-2	2	0	17	0.0	0.0	2.75	0.0
30	30	0	0	3/4	4	1	i.V7				g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	26	0.0	0.0	3.875	0.0
