mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	5/8	6/8	4	1	a.i6{					a	i		i6		i		6				{	m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
2	1	0	0	6/8	4	1	i					a	i		i		i							m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.0	0.0
2	1	3/8	3/8	6/8	4	1	V7	0	-2.82845	/		a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	8	0.0	0.0	1.0	0.0
3	2	0	0	6/8	4	1	i					a	i		i		i							m	1	1	3, 0, 4		3	3	2	6	0.25	0.25	1.0	0.2
3	2	3/8	3/8	6/8	4	1	i6					a	i		i6		i		6					m	1	1	0, 4, 3		3	0	2	4	0.3333333333333333	0.25	0.75	0.25
3	2	5/8	5/8	6/8	4	1	i					a	i		i		i							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	0.5	0.0
4	3	0	0	6/8	4	1	bII6					a	i		bII6		bII		6					M	1	1	2, -1, -2		-2	2	0	10	0.0	0.0	3.0	0.0
5	4	0	0	6/8	4	1	V(64)}					a	i		V(64)		V			64			}	M	1	1	4, 3, 0		4	4	0	4	0.0	0.0	1.25	0.0
5	4	1/4	1/4	6/8	4	1	V|HC					a	i		V		V					HC		M	1	1	4, 8, 5		4	4	0	6	0.0	0.0	1.0	0.0
5	4	5/8	5/8	6/8	4	1	i6{					a	i		i6		i		6				{	m	1	1	0, 4, 3		3	0	0	2	0.0	0.0	0.25	0.0
6	5	0	0	6/8	4	1	i					a	i		i		i							m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.0	0.0
6	5	3/8	3/8	6/8	4	1	V7					a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	8	0.0	0.0	1.0	0.0
7	6	0	0	6/8	4	1	i					a	i		i		i							m	1	1	3, 0, 4		3	3	2	6	0.25	0.25	1.0	0.2
7	6	3/8	3/8	6/8	4	1	i6					a	i		i6		i		6					m	1	1	0, 4, 3		3	0	2	4	0.3333333333333333	0.25	0.75	0.25
