mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	4	1	A.I6{	-0.149272	-4.83908	/		A	I		I6		I		6				{	M	0	0	7, 4, 3		3	7	1	3	0.25	0.0625	0.3125	0.16666666666666666
2	1	0	0	4/4	4	1	I	0	-3.5	/		A	I		I		I							M	0	0	3, 7, 4		3	3	5	6	0.45454545454545453	1.0	1.0	0.5
3	2	0	0	4/4	4	1	V(64)	0	-3.5	/		A	I		V(64)		V			64				M	0	0	4, 3, 7		4	4	2	4	0.3333333333333333	0.25	0.625	0.2857142857142857
3	2	1/4	1/4	4/4	4	1	V	0	-3.5	/		A	I		V		V							M	0	0	4, 8, 5		4	4	2	7	0.2222222222222222	0.125	1.25	0.09090909090909091
4	3	0	0	4/4	4	1	V43	-0.9	-3.5	/		A	I		V43		V		43					Mm7	0	0	5, 2, 4, 8		4	5	3	8	0.2727272727272727	0.625	1.375	0.3125
5	4	0	0	4/4	4	1	I(94)}	0	-3.5	/		A	I		I(94)		I			94			}	M	0	0	3, 2, 4	5	3	3	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
5	4	1/4	1/4	4/4	4	1	I|IAC	0	-3.5	/		A	I		I		I					IAC		M	0	0	3, 7, 4		3	3	2	7	0.2222222222222222	0.125	1.25	0.09090909090909091
6	5	0	0	4/4	4	1	I(64)					A	I		I(64)		I			64				M	0	0	3, 2, 6		3	3	2	3	0.4	0.25	0.5	0.3333333333333333
6	5	1/4	1/4	4/4	4	1	I					A	I		I		I							M	0	0	3, 7, 4		3	3	2	2	0.5	0.25	0.25	0.5
6	5	1/2	1/2	4/4	4	1	IV					A	I		IV		IV							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.1875	1.1875	0.13636363636363635
7	6	0	0	4/4	4	1	I(64)					A	I		I(64)		I			64				M	0	0	3, 2, 6		3	3	2	4	0.3333333333333333	0.25	0.75	0.25
7	6	1/4	1/4	4/4	4	1	I					A	I		I		I							M	0	0	3, 7, 4		3	3	2	2	0.5	0.25	0.25	0.5
7	6	1/2	1/2	4/4	4	1	IV					A	I		IV		IV							M	0	0	2, 6, 3		2	2	2	4	0.3333333333333333	0.1875	1.1875	0.13636363636363635
8	7	0	0	4/4	4	1	I					A	I		I		I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	1.0	0.2
8	7	1/4	1/4	4/4	4	1	ii6					A	I		ii6		ii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	1.0	0.0
