mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	4	1	g.i{	0	-7.5	/	g	i		i	i						{	m	1	1	1, -2, 2		1	1	0	8	0.0	0.0	1.75	0.0
1	1	1/2	1/2	2/2	4	1	i6				g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	8	0.0	0.0	1.75	0.0
2	2	0	0	2/2	4	1	#viio6				g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6	3	0	8	0.0	0.0	1.75	0.0
2	2	1/2	1/2	2/2	4	1	VI6				g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	8	0.0	0.0	1.75	0.0
3	3	0	0	2/2	4	1	V6				g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	6	0.0	0.0	1.0	0.0
3	3	1/4	1/4	2/2	4	1	VI6				g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	6	0.0	0.0	1.0	0.0
3	3	1/2	1/2	2/2	4	1	V6				g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	6	0.0	0.0	1.0	0.0
3	3	3/4	3/4	2/2	4	1	V7				g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	6	0.0	0.0	1.0	0.0
4	4	0	0	2/2	4	1	i	0	-4.5	/	g	i		i	i							m	1	1	1, -2, 2		1	1	4	4	0.5	0.25	1.25	0.16666666666666666
4	4	1/4	1/4	2/2	4	1	i6				g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	2	2	0.5	0.25	0.25	0.5
4	4	1/2	1/2	2/2	4	1	V|HC}				g	i		V	V					HC	}	M	1	1	2, 6, 3		2	2	0	10	0.0	0.0	1.5	0.0
5	5	0	0	2/2	4	1	i{				g	i		i	i						{	m	1	1	1, -2, 2		1	1	0	8	0.0	0.0	1.75	0.0
5	5	1/2	1/2	2/2	4	1	i6				g	i		i6	i		6					m	1	1	-2, 2, 1		1	-2	0	8	0.0	0.0	1.75	0.0
6	6	0	0	2/2	4	1	#viio6				g	i		#viio6	#vii	o	6					o	1	1	3, 0, 6		6	3	0	8	0.0	0.0	1.75	0.0
6	6	1/2	1/2	2/2	4	1	V7	0	-3.5	/	g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	8	0.0	0.0	1.75	0.0
7	7	0	0	2/2	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.0	0.0
7	7	1/4	1/4	2/2	4	1	iio				g	i		iio	ii	o						o	1	1	3, 0, -3		3	3	0	5	0.0	0.0	1.0	0.0
7	7	1/2	1/2	2/2	4	1	V(4)				g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	1	4	0.2	0.125	0.875	0.125
7	7	3/4	3/4	2/2	4	1	V7				g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	5	0.0	0.0	1.0	0.0
8	8	0	0	2/2	4	1	i|PAC}				g	i		i	i					PAC	}	m	1	1	1, -2, 2		1	1	0	11	0.0	0.0	3.375	0.0
9	9	3/8	3/8	2/2	4	1	VI6				g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	8	0.0	0.0	1.375	0.0
10	10	0	0	2/2	4	1	#viio7				g	i		#viio7	#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	2	3	0.4	0.25	1.125	0.18181818181818182
10	10	3/8	3/8	2/2	4	1	V6				g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	10	0.0	0.0	1.625	0.0
11	11	0	0	2/2	4	1	i				g	i		i	i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.375	0.0
11	11	3/8	3/8	2/2	4	1	VI6				g	i		VI6	VI		6					M	1	1	1, -2, -3		-3	1	0	10	0.0	0.0	1.625	0.0
12	12	0	0	2/2	4	1	#viio7				g	i		#viio7	#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	2	3	0.4	0.25	1.125	0.18181818181818182
12	12	3/8	3/8	2/2	4	1	V6				g	i		V6	V		6					M	1	1	6, 3, 2		2	6	0	8	0.0	0.0	1.25	0.0
12	12	7/8	7/8	2/2	4	1	#viio	-2	-2.5	/	g	i		#viio	#vii	o						o	1	1	6, 3, 0		6	6	0	3	0.0	0.0	0.375	0.0
13	13	0	0	2/2	4	1	#viio43/iv	-0.3	-3.5	/	g	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-1, -4, 5, 2		5	-1	0	5	0.0	0.0	0.875	0.0
13	13	1/2	1/2	2/2	4	1	iv6	0	-3.5	/	g	i		iv6	iv		6					m	1	1	-3, 1, 0		0	-3	0	5	0.0	0.0	0.875	0.0
14	14	0	0	2/2	4	1	viio43/V	0	-3.5	/	g	i		viio43/V	vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	5	0.0	0.0	0.875	0.0
