piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	score_integrity	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	imslp	originalFormat	viaf	imslp.1	musicbrainz	viaf.1	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument
b307op2n1a	1: 4/4	1: 3	199	197	793.0	284	283	1133.0	[[[87], [88]]]	2694.0	3643	1604	0	0	403	A	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK, AN	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in A major	1	Allegro	Op. 2, No. 1, B.307				YDME2015012 (v. 1.0)	2017-11-21	3.02	Apple Macintosh					3.6.2	2.4.0	MS3	MS3/b307op2n1a.mscx	False	36-93 (C2-A6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104251	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/9565d9eb-6ed0-4ff8-9c6c-4d60e9812e1c	https://viaf.org/viaf/184548000/	55-93 (G3-A6)	Violin	55-81 (G3-A5)	Violin	49-71 (C#3-B4)	Viola	36-69 (C2-A4)	Violoncello
b307op2n1b	1: 6/8	1: 0	108	107	321.5	108	107	321.5		1122.5	2042	810	0	0	190	a	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK, AN	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in A major	2	Andante grazioso	Op. 2, No. 1, B.307				YDME2015012 (v. 1.0)	2017-11-21	3.02	Apple Macintosh					3.6.2	2.4.0	MS3	MS3/b307op2n1b.mscx	False	36-86 (C2-D6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104251	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/1c2e522f-b783-461c-808b-6118cc738376	https://viaf.org/viaf/184548000/	56-86 (G#3-D6)	Violin	55-75 (G3-Eb5)	Violin	48-70 (C3-Bb4)	Viola	36-67 (C2-G4)	Violoncello
b307op2n1c	1: 3/4	1: 3	82	78	239.0	149	146	438.0	[[[20], [21]], [[51], [52]]]	802.0	925	426	0	0	156	A	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK, AN	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in A major	3	Menuetto	Op. 2, No. 1, B.307				YDME2015012 (v. 1.0)	2017-11-21	3.02	Apple Macintosh					3.6.2	2.4.0	MS3	MS3/b307op2n1c.mscx	False	40-88 (E2-E6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104251	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/9a63d50a-73b9-4514-b8d9-363d9eb36628	https://viaf.org/viaf/184548000/	56-88 (G#3-E6)	Violin	57-71 (A3-B4)	Violin	49-66 (C#3-F#4)	Viola	40-64 (E2-E4)	Violoncello
b309op2n3a	1: 2/2	1: -2	98	98	392.0	98	98	392.0		1279.67	1771	820	0	0	189	g	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK, AN	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in G minor	1	Adagio	Op. 2, No. 3, B.309				YDME2015012 (v. 1.0)	2017-11-29	3.02	Apple Macintosh			"<font size=""10.7""/>Score; <font size=""8.9""/><i>Six Quatuors pour deux Violons, Alto et Violoncelle</i>; <font size=""21.4""/><b> 
</b>"	"<font size=""10.7""/><b>I. Pleyel
Op.2, B. 309</b>"	3.6.2	2.4.0	MS3	MS3/b309op2n3a.mscx	False	36-87 (C2-Eb6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104256	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/9b6d5d99-449a-477b-857b-21684a0e86bf	https://viaf.org/viaf/16145244344674480498/	55-87 (G3-Eb6)	Violin	55-82 (G3-Bb5)	Violin	53-75 (F3-Eb5)	Viola	36-65 (C2-F4)	Violoncello
b309op2n3b	1: 2/2	1: -2	269	269	1076.0	371	371	1484.0		3664.0	4434	2080	0	0	507	g	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK, AN	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in G minor	2	Allegro assai	Op. 2, No. 3, B.309				YDME2015012 (v. 1.0)	2017-11-29	3.02	Apple Macintosh					3.6.2	2.4.0	MS3	MS3/b309op2n3b.mscx	False	36-86 (C2-D6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104256	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/21f2278b-24b3-4199-a8b4-2c0eb0a7e36b	https://viaf.org/viaf/16145244344674480498/	55-86 (G3-D6)	Violin	55-82 (G3-Bb5)	Violin	48-74 (C3-D5)	Viola	36-63 (C2-Eb4)	Violoncello
b309op2n3c	1: 3/4	1: -2, 57: 1	74	74	222.0	148	148	444.0		727.75	1045	409	0	0	123	g	2.3.0	Adrian Nagel (2.1.0), Davor Krkljus (2.3.0)	DK	Amelia Brey	1784	1784	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	Ignaz Pleyel	String Quartet in G minor	3	Grazioso	Op. 2, No. 3, B.309				YDME2015012 (v. 1.0)	2017-11-29	3.02	Apple Macintosh					3.6.2	2.4.0	MS3	MS3/b309op2n3c.mscx	False	38-86 (D2-D6)	Q314019	https://imslp.org/wiki/6_String_Quartets%2C_B.307-312_(Pleyel%2C_Ignaz)	mxl	http://viaf.org/viaf/315104256	https://imslp.org/wiki/6_String_Quartets,_B.307-312_(Pleyel,_Ignaz)	https://musicbrainz.org/work/9cbcee5a-8155-40ee-8c8e-03fbf007839f	https://viaf.org/viaf/16145244344674480498/	62-86 (D4-D6)	Violin	55-77 (G3-F5)	Violin	50-74 (D3-D5)	Viola	38-62 (D2-D4)	Violoncello
