mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5	0	5/8	6/8	2	1	1/8			1/8	1		0	72	C5	5	1
1	0	0	0	0.5	0	5/8	6/8	1	1	1/8			1/8	1		4	76	E5	5	0
2	1	1/2	1/2	0.5	0	0	6/8	2	1	1/8			1/8	1		3	69	A4	4	6
2	1	1/2	1/2	0.5	0	0	6/8	1	1	1/8			1/8	1		0	72	C5	5	2
2	1	1	1	0.5	1/8	1/8	6/8	4	1	1/8			1/8	1		3	45	A2	2	14
2	1	1	1	0.5	1/8	1/8	6/8	3	1	1/8			1/8	1		3	57	A3	3	10
2	1	3/2	3/2	0.5	1/4	1/4	6/8	4	1	1/8			1/8	1		3	57	A3	3	15
2	1	3/2	3/2	0.5	1/4	1/4	6/8	2	1	1/8			1/8	1		4	64	E4	4	7
2	1	3/2	3/2	0.5	1/4	1/4	6/8	3	1	1/8			1/8	1		3	69	A4	4	11
2	1	3/2	3/2	0.5	1/4	1/4	6/8	1	1	1/8			1/8	1		0	72	C5	5	3
2	1	2	2	0.5	3/8	3/8	6/8	2	1	1/8			1/8	1		2	62	D4	4	8
2	1	2	2	0.5	3/8	3/8	6/8	1	1	1/8			1/8	1		5	71	B4	4	4
2	1	5/2	5/2	0.5	1/2	1/2	6/8	4	1	1/8			1/8	1		4	40	E2	2	16
2	1	5/2	5/2	0.5	1/2	1/2	6/8	3	1	1/8			1/8	1		4	52	E3	3	12
2	1	3	3	0.5	5/8	5/8	6/8	4	1	1/8			1/8	1		4	52	E3	3	17
2	1	3	3	0.5	5/8	5/8	6/8	2	1	1/8			1/8	1		2	62	D4	4	9
2	1	3	3	0.5	5/8	5/8	6/8	3	1	1/8			1/8	1		4	64	E4	4	13
2	1	3	3	0.5	5/8	5/8	6/8	1	1	1/8			1/8	1		5	71	B4	4	5
3	2	7/2	7/2	1.0	0	0	6/8	2	1	1/4			1/4	1		0	60	C4	4	22
3	2	7/2	7/2	1.0	0	0	6/8	1	1	1/4			1/4	1		3	69	A4	4	18
