mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	5/8	6/8	4	1	a.i6{		a	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
2	1	1/2	1.5	0	0	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
2	1	2	1.5	3/8	3/8	6/8	4	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	7/2	1.5	0	0	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
3	2	5	1.0	3/8	3/8	6/8	4	1	i6		a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	2	6	0.5	5/8	5/8	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
4	3	13/2	3.0	0	0	6/8	4	1	bII6		a	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
5	4	19/2	1.0	0	0	6/8	4	1	V(64)}		a	i		V(64)		V			64			}	M	1	1	1, 0, -3		1	1
5	4	21/2	1.5	1/4	1/4	6/8	4	1	V|HC		a	i		V		V					HC		M	1	1	1, 5, 2		1	1
5	4	12	0.5	5/8	5/8	6/8	4	1	i6{		a	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
6	5	25/2	1.5	0	0	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
6	5	14	1.5	3/8	3/8	6/8	4	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	31/2	1.5	0	0	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	17	1.0	3/8	3/8	6/8	4	1	i6		a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	6	18	0.5	5/8	5/8	6/8	4	1	i		a	i		i		i							m	1	1	0, -3, 1		0	0
8	7	37/2	2.5	0	0	6/8	4	1	bII6		a	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
8	7	21	0.5	5/8	5/8	6/8	4	1	V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	43/2	1.5	0	0	6/8	4	1	i(9#74)}		a	i		i(9#74)		i			9#74			}	m	1	1	0, -1, 1	2, 5	0	0
9	8	23	1.5	3/8	3/8	6/8	4	1	i|PAC		a	i		i		i					PAC		m	1	1	0, -3, 1		0	0
10	9	49/2	3.0	0	0	6/8	4	1	III.I{		a	III		I		I						{	M	1	0	0, 4, 1		0	0
11	10	55/2	3.0	0	0	6/8	4	1	V65/IV		a	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
12	11	61/2	3.0	0	0	6/8	4	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
13	12	67/2	3.0	0	0	6/8	4	1	V43/IV		a	III		V43/IV		V		43		IV			Mm7	1	0	1, -2, 0, 4		0	1
14	13	73/2	3.0	0	0	6/8	4	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
15	14	79/2	3.0	0	0	6/8	4	1	#viio65/ii		a	III		#viio65/ii		#vii	o	65		ii			o7	1	0	4, 1, -2, 7		7	4
16	15	85/2	1.5	0	0	6/8	4	1	#viio/ii		a	III		#viio/ii		#vii	o			ii			o	1	0	7, 4, 1		7	7
16	15	44	1.5	3/8	3/8	6/8	4	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
17	16	91/2	1.5	0	0	6/8	4	1	V(64)}		a	III		V(64)		V			64			}	M	1	0	1, 0, 4		1	1
17	16	47	1.5	3/8	3/8	6/8	4	1	V|HC		a	III		V		V					HC		M	1	0	1, 5, 2		1	1
18	17	97/2	3.0	0	0	6/8	4	1	I{		a	III		I		I						{	M	1	0	0, 4, 1		0	0
19	18	103/2	3.0	0	0	6/8	4	1	V7		a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	19	109/2	3.0	0	0	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
21	20	115/2	3.0	0	0	6/8	4	1	V7		a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	21	121/2	6.0	0	0	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
24	23	133/2	6.0	0	0	6/8	4	1	viio7/V		a	III		viio7/V		vii	o	7		V			o7	1	0	6, 3, 0, -3		6	6
26	25	145/2	1.5	0	0	6/8	4	1	V43(+b2)}{		a	III		V43(+b2)		V		43	+b2			}{	Mm7	1	0	2, -1, 1, 5	-4	1	2
26	25	74	1.5	3/8	3/8	6/8	4	1	I6(+b6)		a	III		I6(+b6)		I		6	+b6				M	1	0	4, 1, 0	-4	0	4
27	26	151/2	1.5	0	0	6/8	4	1	V43(+b2)		a	III		V43(+b2)		V		43	+b2				Mm7	1	0	2, -1, 1, 5	-4	1	2
27	26	77	1.5	3/8	3/8	6/8	4	1	I6(+b6)		a	III		I6(+b6)		I		6	+b6				M	1	0	4, 1, 0	-4	0	4
28	27	157/2	1.5	0	0	6/8	4	1	V43(+b2)		a	III		V43(+b2)		V		43	+b2				Mm7	1	0	2, -1, 1, 5	-4	1	2
28	27	80	1.5	3/8	3/8	6/8	4	1	I(+b64)		a	III		I(+b64)		I			+b64				M	1	0	0, -1, 1	-4	0	0
29	28	163/2	2.5	0	0	6/8	4	1	V65		a	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
29	28	84	0.5	5/8	5/8	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
30	29	169/2	1.0	0	0	6/8	4	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
30	29	171/2	0.5	1/4	1/4	6/8	4	1	I+6		a	III		I+6		I	+	6					+	1	0	4, 8, 0		0	4
30	29	86	1.0	3/8	3/8	6/8	4	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
30	29	87	0.5	5/8	5/8	6/8	4	1	I+6		a	III		I+6		I	+	6					+	1	0	4, 8, 0		0	4
31	30	175/2	1.0	0	0	6/8	4	1	IV		a	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
31	30	177/2	0.5	1/4	1/4	6/8	4	1	V43/ii		a	III		V43/ii		V		43		ii			Mm7	1	0	4, 1, 3, 7		3	4
31	30	89	1.5	3/8	3/8	6/8	4	1	II	V/V	a	III		II		II							M	1	0	2, 6, 3		2	2
32	31	181/2	1.0	0	0	6/8	4	1	V		a	III		V		V							M	1	0	1, 5, 2		1	1
32	31	183/2	0.5	1/4	1/4	6/8	4	1	V65		a	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
32	31	92	1.5	3/8	3/8	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
33	32	187/2	3.0	0	0	6/8	4	1	ii6		a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
34	33	193/2	1.5	0	0	6/8	4	1	V(64)		a	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
34	33	98	1.5	3/8	3/8	6/8	4	1	V7		a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
35	34	199/2	1.5	0	0	6/8	4	1	I|PAC}{		a	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
35	34	101	1.5	3/8	3/8	6/8	4	1	V65		a	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
36	35	205/2	1.0	0	0	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
36	35	207/2	0.5	1/4	1/4	6/8	4	1	viio6/V		a	III		viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
36	35	104	1.5	3/8	3/8	6/8	4	1	V7		a	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
37	36	211/2	1.5	0	0	6/8	4	1	I|PAC}{		a	III		I		I					PAC	}{	M	1	0	0, 4, 1		0	0
37	36	107	1.5	3/8	3/8	6/8	4	1	V65		a	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
38	37	217/2	1.0	0	0	6/8	4	1	I		a	III		I		I							M	1	0	0, 4, 1		0	0
