mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	4	1		A.I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
1	1	2	2	1.0	1/2	1/2	3/4	4	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	3	3	1.0	0	0	3/4	4	1		vi(64)	A	I		vi(64)	vi			64				m	0	0	3, 2, -1		3	3
2	2	4	4	1.0	1/4	1/4	3/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
2	2	5	5	1.0	1/2	1/2	3/4	4	1		I64	A	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	6	6	1.0	0	0	3/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
3	3	7	7	1.0	1/4	1/4	3/4	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
3	3	8	8	1.0	1/2	1/2	3/4	4	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	9	9	2.0	0	0	3/4	4	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	4	11	11	1.0	1/2	1/2	3/4	4	1		V|HC}	A	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
5	5	12	12	1.0	0	0	3/4	4	1		IV{	A	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
5	5	13	13	1.0	1/4	1/4	3/4	4	1		ii	A	I		ii	ii							m	0	0	2, -1, 3		2	2
5	5	14	14	1.0	1/2	1/2	3/4	4	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	15	15	1.0	0	0	3/4	4	1		#viio7(b86)/vi	A	I		#viio7(b86)/vi	#vii	o	7	b86	vi			o7	0	0	8, 5, 4, -1		8	8
6	6	16	16	1.0	1/4	1/4	3/4	4	1		#viio/vi	A	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
6	6	17	17	0.5	1/2	1/2	3/4	4	1		vi(64)	A	I		vi(64)	vi			64				m	0	0	3, 2, -1		3	3
6	6	35/2	35/2	0.5	5/8	5/8	3/4	4	1		vi	A	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	18	18	1.0	0	0	3/4	4	1		ii65	A	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
7	7	19	19	1.0	1/4	1/4	3/4	4	1		ii7	A	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
