mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.g.i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
2	2	0	V6	g	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
2	2	1/2	V65	g	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
3	3	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
4	4	0	#viio43	g	i		#viio43	#vii		o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
5	5	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
6	6	0	i(64)	g	i		i(64)	i				64			m	1	1	0, -1, -4		0.0	0.0
6	6	1/4	i\\	g	i		i	i						\\	m	1	1	0, -3, 1		0.0	0.0
7	7	0	iio(4)	g	i		iio(4)	ii		o		4			o	1	1	2, 1, -4		2.0	2.0
7	7	1/8	iio	g	i		iio	ii		o					o	1	1	2, -1, -4		2.0	2.0
7	7	1/2	ii%2	g	i		ii%2	ii		%	2				%7	1	1	0, 2, 1, 8		2.0	0.0
8	8	0	V65	g	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
9	9	0	i	g	i		i	i							m	1	1	0, -3, 1		0.0	0.0
9	9	1/2	.Ger6/V	g	i		Ger6/V	vii	Ger	o	65	b3	V/V		M	1	1	-3, 1, -2, 7		7.0	-3.0
9	9	3/4	.It6/V	g	i		It6/V	vii	It	o	6	b3	V/V		M	1	1	-3, 1, 7		7.0	-3.0
10	10	0	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1.0	1.0
11	11	0	V	g	i		V	V							M	1	1	1, 5, 2		1.0	1.0
11	11	1/2	V(6)	g	i		V(6)	V				6			M	1	1	1, 5, -3		1.0	1.0
12	12	0	V	g	i		V	V							M	1	1	1, 5, 2		1.0	1.0
12	12	1/2	V7	g	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
13	13	0	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0
14	14	0	III.V65/IV	g	III		V65/IV	V			65		IV		Mm7	1	0	4, 1, -2, 0		0.0	4.0
15	15	0	IV	g	III		IV	IV							M	1	0	-1, 3, 0		-1.0	-1.0
15	15	1/2	V7/V	g	III		V7/V	V			7		V		Mm7	1	0	2, 6, 3, 0		2.0	2.0
16	16	0	"V""V\\"	g	III											1	0				
17	17	0	I6	g	III		I6	I			6				M	1	0	4, 1, 0		0.0	4.0
17	17	1/2	V7(4)	g	III		V7(4)	V			7	4			Mm7	1	0	1, 0, 2, -1		1.0	1.0
17	17	5/8	V7	g	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
18	18	0	I(4)	g	III		I(4)	I				4			M	1	0	0, -1, 1		0.0	0.0
18	18	1/8	I	g	III		I	I							M	1	0	0, 4, 1		0.0	0.0
18	18	1/2	V	g	III		V	V							M	1	0	1, 5, 2		1.0	1.0
18	18	3/4	I	g	III		I	I							M	1	0	0, 4, 1		0.0	0.0
18	18	7/8	V7	g	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
