mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
312	312	0	IV			A	i		IV	IV							M	0	1	-1, 3, 0		-1.0	-1.0
312	312	1/4	ii			A	i		ii	ii							m	0	1	2, -1, 3		2.0	2.0
312	312	1/2	I6			A	i		I6	I			6				M	0	1	4, 1, 0		0.0	4.0
313	313	0	#viio7(b86)/vi			A	i		#viio7(b86)/vi	#vii		o	7	b86	vi		o7	0	1	1, -2, -3, -8		1.0	1.0
313	313	1/4	#viio/vi			A	i		#viio/vi	#vii		o			vi		o	0	1	1, -2, -5		1.0	1.0
313	313	1/2	vi(64)			A	i		vi(64)	vi				64			m	0	1	-4, 2, -1		-4.0	-4.0
313	313	5/8	vi			A	i		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
314	314	0	ii65			A	i		ii65	ii			65				mm7	0	1	-1, 3, 0, 2		2.0	-1.0
314	314	1/4	ii7			A	i		ii7	ii			7				mm7	0	1	2, -1, 3, 0		2.0	2.0
314	314	1/2	V			A	i		V	V							M	0	1	1, 5, 2		1.0	1.0
315	315	0	I\\			A	i		I	I						\\	M	0	1	0, 4, 1		0.0	0.0
316	316	0	"V""V"			A	i											0	1				
316	316	1/4	V7			A	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
318	318	0	"I"""			A	i											0	1				
320	320	0	I			A	i		I	I							M	0	1	0, 4, 1		0.0	0.0
320	320	1/4	I6			A	i		I6	I			6				M	0	1	4, 1, 0		0.0	4.0
320	320	1/2	V7			A	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
321	321	0	vi(64)			A	i		vi(64)	vi				64			m	0	1	-4, 2, -1		-4.0	-4.0
321	321	1/4	vi			A	i		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
321	321	1/2	I64			A	i		I64	I			64				M	0	1	1, 0, 4		0.0	1.0
322	322	0	ii6			A	i		ii6	ii			6				m	0	1	-1, 3, 2		2.0	-1.0
322	322	1/4	ii			A	i		ii	ii							m	0	1	2, -1, 3		2.0	2.0
322	322	1/2	ii6			A	i		ii6	ii			6				m	0	1	-1, 3, 2		2.0	-1.0
323	323	0	V(64)			A	i		V(64)	V				64			M	0	1	1, 0, -3		1.0	1.0
323	323	1/2	V\\			A	i		V	V						\\	M	0	1	1, 5, 2		1.0	1.0
324	324	0	IV			A	i		IV	IV							M	0	1	-1, 3, 0		-1.0	-1.0
324	324	1/4	ii			A	i		ii	ii							m	0	1	2, -1, 3		2.0	2.0
324	324	1/2	I6			A	i		I6	I			6				M	0	1	4, 1, 0		0.0	4.0
325	325	0	#viio7(b86)/vi			A	i		#viio7(b86)/vi	#vii		o	7	b86	vi		o7	0	1	1, -2, -3, -8		1.0	1.0
325	325	1/4	#viio/vi			A	i		#viio/vi	#vii		o			vi		o	0	1	1, -2, -5		1.0	1.0
325	325	1/2	vi(64)			A	i		vi(64)	vi				64			m	0	1	-4, 2, -1		-4.0	-4.0
325	325	5/8	vi			A	i		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
326	326	0	ii65			A	i		ii65	ii			65				mm7	0	1	-1, 3, 0, 2		2.0	-1.0
326	326	1/4	ii7			A	i		ii7	ii			7				mm7	0	1	2, -1, 3, 0		2.0	2.0
326	326	1/2	V			A	i		V	V							M	0	1	1, 5, 2		1.0	1.0
327	327	0	I\\		1	A	i		I	I						\\	M	0	1	0, 4, 1		0.0	0.0
328	328	0	I\\		2	A	i		I	I						\\	M	0	1	0, 4, 1		0.0	0.0
330	330	1/4	I			A	i		I	I							M	0	1	0, 4, 1		0.0	0.0
332	332	0	V7			A	i		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
333	333	0	I\\			A	i		I	I						\\	M	0	1	0, 4, 1		0.0	0.0
334	334	0	I			A	i		I	I							M	0	1	0, 4, 1		0.0	0.0
335	335	0	V6			A	i		V6	V			6				M	0	1	5, 2, 1		1.0	5.0
335	335	1/2	V.I			A	V		I	I							M	0	0	0, 4, 1		0.0	0.0
336	336	0	V65			A	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
336	336	1/2	I			A	V		I	I							M	0	0	0, 4, 1		0.0	0.0
337	337	0	V65			A	V		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
337	337	1/2	I			A	V		I	I							M	0	0	0, 4, 1		0.0	0.0
338	338	0	IV			A	V		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
338	338	3/16	ii6			A	V		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
338	338	1/4	V(64)			A	V		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
338	338	1/2	V7			A	V		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
339	339	0	I\\			A	V		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
340	340	0	I.#viio43/ii			A	I		#viio43/ii	#vii		o	43		ii		o7	0	0	1, -2, 7, 4		7.0	1.0
341	341	0	V43/ii			A	I		V43/ii	V			43		ii		Mm7	0	0	4, 1, 3, 7		3.0	4.0
342	342	0	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
343	343	0	V43			A	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
344	344	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
344	344	1/4	V65			A	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
344	344	1/2	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
345	345	0	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
345	345	1/2	V65			A	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
346	346	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
346	346	1/4	V65			A	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
346	346	1/2	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
347	347	0	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
347	347	1/4	V\\			A	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
348	348	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
350	350	0	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
351	351	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
352	352	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
353	353	0	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
353	353	1/2	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
354	354	0	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
354	354	1/4	V65			A	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
354	354	1/2	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
355	355	0	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
355	355	1/4	V65			A	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
355	355	1/2	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
356	356	0	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
356	356	1/4	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
356	356	1/2	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
357	357	0	I\\		1	A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
358	358	0	I\\		2	A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
359	359	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
359	359	1/4	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
359	359	1/2	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
360	360	0	vi(64)			A	I		vi(64)	vi				64			m	0	0	3, 2, -1		3.0	3.0
360	360	1/4	vi			A	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
360	360	1/2	I64			A	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
361	361	0	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
361	361	1/4	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
361	361	1/2	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
362	362	0	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
362	362	1/2	V\\			A	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
363	363	0	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
363	363	1/4	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
363	363	1/2	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
364	364	0	#viio7(b86)/vi			A	I		#viio7(b86)/vi	#vii		o	7	b86	vi		o7	0	0	8, 5, 4, -1		8.0	8.0
364	364	1/4	#viio/vi			A	I		#viio/vi	#vii		o			vi		o	0	0	8, 5, 2		8.0	8.0
364	364	1/2	vi(64)			A	I		vi(64)	vi				64			m	0	0	3, 2, -1		3.0	3.0
364	364	5/8	vi			A	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
365	365	0	ii65			A	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
365	365	1/4	ii7			A	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
365	365	1/2	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
366	366	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
367	367	0	"V""V"			A	I											0	0				
367	367	1/4	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
369	369	0	"I"""			A	I											0	0				
371	371	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
371	371	1/4	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
371	371	1/2	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
372	372	0	vi(64)			A	I		vi(64)	vi				64			m	0	0	3, 2, -1		3.0	3.0
372	372	1/4	vi			A	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
372	372	1/2	I64			A	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
373	373	0	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
373	373	1/4	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
373	373	1/2	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
374	374	0	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
374	374	1/2	V\\			A	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
375	375	0	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
375	375	1/4	ii			A	I		ii	ii							m	0	0	2, -1, 3		2.0	2.0
375	375	1/2	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
376	376	0	#viio/vi			A	I		#viio/vi	#vii		o			vi		o	0	0	8, 5, 2		8.0	8.0
376	376	1/2	vi(64)			A	I		vi(64)	vi				64			m	0	0	3, 2, -1		3.0	3.0
376	376	5/8	vi			A	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
377	377	0	ii65			A	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
377	377	1/4	ii7			A	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
377	377	1/2	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
378	378	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
379	379	0	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
380	380	0	vi			A	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
381	381	0	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
381	381	1/2	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
382	382	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
382	382	1/2	@none			A	I		@none	@none							m	0	0				
384	384	1/2	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
385	385	0	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
386	386	0	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
387	387	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
