mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	4	1	g.i{	g	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	3	3	3.0	0	0	3/4	4	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
3	3	6	6	2.5	0	0	3/4	4	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	3	17/2	17/2	0.5	5/8	5/8	3/4	4	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	9	9	1.0	0	0	3/4	4	1	i(94)}	g	i		i(94)		i			94			}	m	1	1	0, -1, 1	2	0	0
4	4	10	10	1.0	1/4	1/4	3/4	4	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	11	11	1.0	1/2	1/2	3/4	4	1	V|HC	g	i		V		V					HC		M	1	1	1, 5, 2		1	1
5	5	12	12	3.0	0	0	3/4	4	1	i6{	g	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
6	6	15	15	3.0	0	0	3/4	4	1	#viio65	g	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	18	18	1.0	0	0	3/4	4	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	19	19	1.0	1/4	1/4	3/4	4	1	V43	g	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	7	20	20	0.5	1/2	1/2	3/4	4	1	i(4)	g	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
7	7	41/2	41/2	0.5	5/8	5/8	3/4	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	8	21	21	2.0	0	0	3/4	4	1	V(64)}	g	i		V(64)		V			64			}	M	1	1	1, 0, -3		1	1
8	8	23	23	1.0	1/2	1/2	3/4	4	1	V|HC	g	i		V		V					HC		M	1	1	1, 5, 2		1	1
9	9	24	24	3.0	0	0	3/4	4	1	III.I{	g	III		I		I						{	M	1	0	0, 4, 1		0	0
10	10	27	27	3.0	0	0	3/4	4	1	V	g	III		V		V							M	1	0	1, 5, 2		1	1
11	11	30	30	3.0	0	0	3/4	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
12	12	33	33	3.0	0	0	3/4	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
13	13	36	36	3.0	0	0	3/4	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
14	14	39	39	3.0	0	0	3/4	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	15	42	42	3.0	0	0	3/4	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
16	16	45	45	3.0	0	0	3/4	4	1	V2	g	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
17	17	48	48	3.0	0	0	3/4	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
18	18	51	51	1.0	0	0	3/4	4	1	IV(#2)	g	III		IV(#2)		IV			#2				M	1	0	-1, 8, 0		-1	-1
18	18	52	52	1.0	1/4	1/4	3/4	4	1	IV	g	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
18	18	53	53	1.0	1/2	1/2	3/4	4	1	V2	g	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
19	19	54	54	0.75	0	0	3/4	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
19	19	219/4	219/4	0.25	3/16	3/16	3/4	4	1	IV	g	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
19	19	55	55	1.0	1/4	1/4	3/4	4	1	V(64)	g	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
19	19	56	56	1.0	1/2	1/2	3/4	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	20	57	57	6.0	0	0	3/4	4	1	I|PAC}	g	III		I		I					PAC	}	M	1	0	0, 4, 1		0	0
21	21	60	60	0.0	0	0	3/4	4	1	{	g	III										{		1	0				
22	22	63	63	1.0	0	0	3/4	4	1	ii(4)	g	III		ii(4)		ii			4				m	1	0	2, 1, 3		2	2
22	22	64	64	2.0	1/4	1/4	3/4	4	1	ii	g	III		ii		ii							m	1	0	2, -1, 3		2	2
23	23	66	66	3.0	0	0	3/4	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
24	24	69	69	1.0	0	0	3/4	4	1	I(4)}	g	III		I(4)		I			4			}	M	1	0	0, -1, 1		0	0
24	24	70	70	2.0	1/4	1/4	3/4	4	1	I|IAC	g	III		I		I					IAC		M	1	0	0, 4, 1		0	0
25	25	72	72	3.0	0	0	3/4	4	1	I6{	g	III		I6		I		6				{	M	1	0	4, 1, 0		0	4
26	26	75	75	1.0	0	0	3/4	4	1	V2(6)	g	III		V2(6)		V		2	6				Mm7	1	0	-1, 1, 5, 4		1	-1
26	26	76	76	2.0	1/4	1/4	3/4	4	1	V2	g	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
27	27	78	78	3.0	0	0	3/4	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
28	28	81	81	1.0	0	0	3/4	4	1	V2(6)	g	III		V2(6)		V		2	6				Mm7	1	0	-1, 1, 5, 4		1	-1
28	28	82	82	2.0	1/4	1/4	3/4	4	1	V2	g	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
29	29	84	84	3.0	0	0	3/4	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
30	30	87	87	3.0	0	0	3/4	4	1	i.V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
31	31	90	90	3.0	0	0	3/4	4	1	VI	g	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
32	32	93	93	2.0	0	0	3/4	4	1	Ger6	g	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
