mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1		g.i	g	i		i		i							m	1	1	0, -3, 1		0	0
2	2	0	0	3/4	4	1		iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
3	3	0	0	3/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	3	5/8	5/8	3/4	4	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	3/4	4	1		i(42)	g	i		i(42)		i			42				m	1	1	2, -1, 1		0	2
4	4	1/4	1/4	3/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	1/2	1/2	3/4	4	1		V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
5	5	0	0	3/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	3/4	4	1		#viio65	g	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	0	0	3/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	1/4	1/4	3/4	4	1		V43	g	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
7	7	1/2	1/2	3/4	4	1		i(4)	g	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
7	7	5/8	5/8	3/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	8	0	0	3/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	1/2	1/2	3/4	4	1		V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
9	9	0	0	3/4	4	1		@none	g	i		@none		@none							m	1	1				
11	11	0	0	3/4	4	1		III.I	g	III		I		I							M	1	0	0, 4, 1		0	0
12	12	0	0	3/4	4	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
13	13	0	0	3/4	4	1		I	g	III		I		I							M	1	0	0, 4, 1		0	0
14	14	0	0	3/4	4	1		V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	15	0	0	3/4	4	1		I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
16	16	0	0	3/4	4	1		V2	g	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
17	17	0	0	3/4	4	1		I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
18	18	0	0	3/4	4	1		IV(#2)	g	III		IV(#2)		IV			#2				M	1	0	-1, 8, 0		-1	-1
