mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	0	0	5/8	6/8	4	1		i.i6			i		i6		i		6						m	-3, 1, 0		0	-3
2	1	0	0	6/8	4	1		i					i		i								m	0, -3, 1		0	0
2	1	3/8	3/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
3	2	0	0	6/8	4	1		i					i		i								m	0, -3, 1		0	0
3	2	3/8	3/8	6/8	4	1		i6					i6		i		6						m	-3, 1, 0		0	-3
3	2	5/8	5/8	6/8	4	1		i					i		i								m	0, -3, 1		0	0
4	3	0	0	6/8	4	1		bII6					bII6		bII		6						M	-1, -4, -5		-5	-1
5	4	0	0	6/8	4	1		V(64)					V(64)		V			64					M	1, 0, -3		1	1
5	4	1/4	1/4	6/8	4	1		V\\					V		V							\\	M	1, 5, 2		1	1
5	4	5/8	5/8	6/8	4	1		i6					i6		i		6						m	-3, 1, 0		0	-3
6	5	0	0	6/8	4	1		i					i		i								m	0, -3, 1		0	0
6	5	3/8	3/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
7	6	0	0	6/8	4	1		i					i		i								m	0, -3, 1		0	0
7	6	3/8	3/8	6/8	4	1		i6					i6		i		6						m	-3, 1, 0		0	-3
7	6	5/8	5/8	6/8	4	1		i					i		i								m	0, -3, 1		0	0
8	7	0	0	6/8	4	1		bII6					bII6		bII		6						M	-1, -4, -5		-5	-1
8	7	5/8	5/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
9	8	0	0	6/8	4	1		i(9#74)					i(9#74)		i			9#74					m	0, -1, 1	2, 5	0	0
9	8	3/8	3/8	6/8	4	1		i\\					i		i							\\	m	0, -3, 1		0	0
11	10	0	0	6/8	4	1		III.V65/IV			III		V65/IV		V		65		IV				Mm7	4, 1, -2, 0		0	4
12	11	0	0	6/8	4	1		IV					IV		IV								M	-1, 3, 0		-1	-1
13	12	0	0	6/8	4	1		V43/IV					V43/IV		V		43		IV				Mm7	1, -2, 0, 4		0	1
14	13	0	0	6/8	4	1		IV					IV		IV								M	-1, 3, 0		-1	-1
15	14	0	0	6/8	4	1		#viio65/ii					#viio65/ii		#vii	o	65		ii				o7	4, 1, -2, 7		7	4
17	16	0	0	6/8	4	1		V(64)					V(64)		V			64					M	1, 0, -3		1	1
17	16	3/8	3/8	6/8	4	1		V\\					V		V							\\	M	1, 5, 2		1	1
18	17	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
19	18	0	0	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
20	19	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
21	20	0	0	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
22	21	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
24	23	0	0	6/8	4	1		viio7/V					viio7/V		vii	o	7		V				o7	6, 3, 0, -3		6	6
26	25	0	0	6/8	4	1		V43(+b2)					V43(+b2)		V		43	+b2					Mm7	2, -1, 1, 5	-11	1	2
26	25	3/8	3/8	6/8	4	1		I6(+b6)					I6(+b6)		I		6	+b6					M	4, 1, 0	-11	0	4
27	26	0	0	6/8	4	1		V43(+b2)					V43(+b2)		V		43	+b2					Mm7	2, -1, 1, 5	-11	1	2
27	26	3/8	3/8	6/8	4	1		I6(+b6)					I6(+b6)		I		6	+b6					M	4, 1, 0	-11	0	4
28	27	0	0	6/8	4	1		V43(+b2)					V43(+b2)		V		43	+b2					Mm7	2, -1, 1, 5	-11	1	2
28	27	3/8	3/8	6/8	4	1		I(+b64)					I(+b64)		I			+b64					M	0, -1, 1	-11	0	0
29	28	0	0	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
29	28	5/8	5/8	6/8	4	1		I					I		I								M	0, 4, 1		0	0
30	29	0	0	6/8	4	1		IV					IV		IV								M	-1, 3, 0		-1	-1
30	29	1/4	1/4	6/8	4	1		I+6					I+6		I	+	6						+	4, 8, 0		0	4
30	29	3/8	3/8	6/8	4	1		IV					IV		IV								M	-1, 3, 0		-1	-1
30	29	5/8	5/8	6/8	4	1		I+6					I+6		I	+	6						+	4, 8, 0		0	4
31	30	0	0	6/8	4	1		IV					IV		IV								M	-1, 3, 0		-1	-1
31	30	1/4	1/4	6/8	4	1		V43/ii					V43/ii		V		43		ii				Mm7	4, 1, 3, 7		3	4
31	30	3/8	3/8	6/8	4	1		II					II		II								M	2, 6, 3		2	2
32	31	0	0	6/8	4	1		V					V		V								M	1, 5, 2		1	1
32	31	1/4	1/4	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
32	31	3/8	3/8	6/8	4	1		I					I		I								M	0, 4, 1		0	0
33	32	0	0	6/8	4	1		ii6					ii6		ii		6						m	-1, 3, 2		2	-1
34	33	0	0	6/8	4	1		V(64)					V(64)		V			64					M	1, 0, -3		1	1
34	33	3/8	3/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
35	34	0	0	6/8	4	1		I\\					I		I							\\	M	0, 4, 1		0	0
35	34	3/8	3/8	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
36	35	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
36	35	1/4	1/4	6/8	4	1		viio6/V					viio6/V		vii	o	6		V				o	3, 0, 6		6	3
36	35	3/8	3/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
37	36	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
37	36	3/8	3/8	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
38	37	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
38	37	1/4	1/4	6/8	4	1		viio6/V					viio6/V		vii	o	6		V				o	3, 0, 6		6	3
38	37	3/8	3/8	6/8	4	1		V7					V7		V		7						Mm7	1, 5, 2, -1		1	1
39	38	0	0	6/8	4	1		I[I				I	I		I								M	0, 4, 1		0	0
39	38	3/8	3/8	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
40	39	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
40	39	3/8	3/8	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
41	40	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
41	40	3/8	3/8	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
42	41	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
42	41	3/8	3/8	6/8	4	1		V65					V65		V		65						Mm7	5, 2, -1, 1		1	5
43	42	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
43	42	3/8	3/8	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
44	43	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
44	43	3/8	3/8	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
45	44	0	0	6/8	4	1		I					I		I								M	0, 4, 1		0	0
45	44	1/4	1/4	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
45	44	3/8	3/8	6/8	4	1		I					I		I								M	0, 4, 1		0	0
45	44	5/8	5/8	6/8	4	1		V6					V6		V		6						M	5, 2, 1		1	5
