mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	4	1	g.i	g	i		i		i							m	1	1	0, -3, 1		0	0
2	2	0	0	2/2	4	1	V6	g	i		V6		V		6					M	1	1	5, 2, 1		1	5
2	2	1/2	1/2	2/2	4	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	3	0	0	2/2	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
4	4	0	0	2/2	4	1	#viio43	g	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
5	5	0	0	2/2	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
6	6	0	0	2/2	4	1	i(64)	g	i		i(64)		i			64				m	1	1	0, -1, -4		0	0
6	6	1/4	1/4	2/2	4	1	i\\	g	i		i		i						\\	m	1	1	0, -3, 1		0	0
7	7	0	0	2/2	4	1	iio(4)	g	i		iio(4)		ii	o		4				o	1	1	2, 1, -4		2	2
7	7	1/8	1/8	2/2	4	1	iio	g	i		iio		ii	o						o	1	1	2, -1, -4		2	2
7	7	1/2	1/2	2/2	4	1	ii%2	g	i		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
8	8	0	0	2/2	4	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	9	0	0	2/2	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	2/2	4	1	Ger6/V	g	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
9	9	3/4	3/4	2/2	4	1	It6/V	g	i		It6/V	It	vii	o	6	b3	V/V			It	1	1	-3, 1, 7		7	-3
10	10	0	0	2/2	4	1	V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
11	11	0	0	2/2	4	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
11	11	1/2	1/2	2/2	4	1	V(6)	g	i		V(6)		V			6				M	1	1	1, 5, -3		1	1
12	12	0	0	2/2	4	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
12	12	1/2	1/2	2/2	4	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	13	0	0	2/2	4	1	VI	g	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	0	0	2/2	4	1	III.V65/IV	g	III		V65/IV		V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
15	15	0	0	2/2	4	1	IV	g	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
15	15	1/2	1/2	2/2	4	1	V7/V	g	III		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
16	16	0	0	2/2	4	1	V[V\\	g	III	V	V		V						\\	M	1	0	1, 5, 2		1	1
17	17	0	0	2/2	4	1	I6	g	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
17	17	1/2	1/2	2/2	4	1	V7(4)	g	III	V	V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
17	17	5/8	5/8	2/2	4	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	0	0	2/2	4	1	I(4)	g	III	V	I(4)		I			4				M	1	0	0, -1, 1		0	0
18	18	1/8	1/8	2/2	4	1	I	g	III	V	I		I							M	1	0	0, 4, 1		0	0
18	18	1/2	1/2	2/2	4	1	V	g	III	V	V		V							M	1	0	1, 5, 2		1	1
18	18	3/4	3/4	2/2	4	1	I	g	III	V	I		I							M	1	0	0, 4, 1		0	0
18	18	7/8	7/8	2/2	4	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	0	0	2/2	4	1	I6	g	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
19	19	1/2	1/2	2/2	4	1	V7	g	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	20	0	0	2/2	4	1	I(4)	g	III	V	I(4)		I			4				M	1	0	0, -1, 1		0	0
20	20	1/8	1/8	2/2	4	1	I	g	III	V	I		I							M	1	0	0, 4, 1		0	0
20	20	1/2	1/2	2/2	4	1	V]	g	III	V	V		V							M	1	0	1, 5, 2		1	1
20	20	5/8	5/8	2/2	4	1	viio64	g	III		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
20	20	3/4	3/4	2/2	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
20	20	7/8	7/8	2/2	4	1	viio6	g	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
21	21	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
21	21	1/2	1/2	2/2	4	1	#viio2/ii	g	III		#viio2/ii		#vii	o	2		ii			o7	1	0	-2, 7, 4, 1		7	-2
21	21	3/4	3/4	2/2	4	1	V/ii	g	III		V/ii		V				ii			M	1	0	3, 7, 4		3	3
21	21	15/16	15/16	2/2	4	1	#viio43/ii	g	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
22	22	0	0	2/2	4	1	ii6	g	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
22	22	7/32	7/32	2/2	4	1	#viio6/ii	g	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4
22	22	1/4	1/4	2/2	4	1	ii	g	III		ii		ii							m	1	0	2, -1, 3		2	2
22	22	15/32	15/32	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
22	22	1/2	1/2	2/2	4	1	vii%7	g	III		vii%7		vii	%	7					%7	1	0	5, 2, -1, 3		5	5
23	23	0	0	2/2	4	1	I(64)	g	III		I(64)		I			64				M	1	0	0, -1, 3		0	0
23	23	1/8	1/8	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
23	23	1/2	1/2	2/2	4	1	V(6)	g	III		V(6)		V			6				M	1	0	1, 5, 4		1	1
23	23	5/8	5/8	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
23	23	3/4	3/4	2/2	4	1	V(64)	g	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
23	23	7/8	7/8	2/2	4	1	V	g	III		V		V							M	1	0	1, 5, 2		1	1
24	24	0	0	2/2	4	1	I(72)	g	III		I(72)		I			72				M	1	0	2, 4, 1	5	0	2
24	24	1/2	1/2	2/2	4	1	I\\	g	III		I		I						\\	M	1	0	0, 4, 1		0	0
25	25	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
25	25	1/2	1/2	2/2	4	1	#viio2/ii	g	III		#viio2/ii		#vii	o	2		ii			o7	1	0	-2, 7, 4, 1		7	-2
25	25	3/4	3/4	2/2	4	1	V/ii	g	III		V/ii		V				ii			M	1	0	3, 7, 4		3	3
25	25	15/16	15/16	2/2	4	1	#viio43/ii	g	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
26	26	0	0	2/2	4	1	ii6	g	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
26	26	7/32	7/32	2/2	4	1	#viio6/ii	g	III		#viio6/ii		#vii	o	6		ii			o	1	0	4, 1, 7		7	4
26	26	1/4	1/4	2/2	4	1	ii	g	III		ii		ii							m	1	0	2, -1, 3		2	2
26	26	15/32	15/32	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
26	26	1/2	1/2	2/2	4	1	vii%7	g	III		vii%7		vii	%	7					%7	1	0	5, 2, -1, 3		5	5
27	27	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
28	28	1/2	1/2	2/2	4	1	#viio65/vi	g	III		#viio65/vi		#vii	o	65		vi			o7	1	0	5, 2, -1, 8		8	5
29	29	0	0	2/2	4	1	vi	g	III		vi		vi							m	1	0	3, 0, 4		3	3
29	29	1/2	1/2	2/2	4	1	#viio43/ii	g	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
30	30	0	0	2/2	4	1	ii6	g	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
31	31	0	0	2/2	4	1	V(64)	g	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
33	33	1/2	1/2	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
34	34	0	0	2/2	4	1	I\\	g	III		I		I						\\	M	1	0	0, 4, 1		0	0
34	34	1/4	1/4	2/2	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
34	34	1/2	1/2	2/2	4	1	V	g	III		V		V							M	1	0	1, 5, 2		1	1
35	35	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
35	35	11/16	11/16	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
36	36	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
36	36	1/4	1/4	2/2	4	1	I6	g	III		I6		I		6					M	1	0	4, 1, 0		0	4
36	36	1/2	1/2	2/2	4	1	V	g	III		V		V							M	1	0	1, 5, 2		1	1
37	37	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
37	37	11/16	11/16	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
38	38	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
38	38	11/16	11/16	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
39	39	0	0	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
39	39	3/16	3/16	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
39	39	1/2	1/2	2/2	4	1	I	g	III		I		I							M	1	0	0, 4, 1		0	0
39	39	11/16	11/16	2/2	4	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
40	40	0	0	2/2	4	1	I\\	g	III		I		I						\\	M	1	0	0, 4, 1		0	0
41	41	0	0	2/2	4	1	i.V	g	i		V		V							M	1	1	1, 5, 2		1	1
42	42	0	0	2/2	4	1	#viio43	g	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
43	43	0	0	2/2	4	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
43	43	1/2	1/2	2/2	4	1	V6	g	i		V6		V		6					M	1	1	5, 2, 1		1	5
44	44	0	0	2/2	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
44	44	3/4	3/4	2/2	4	1	It6/V	g	i		It6/V	It	vii	o	6	b3	V/V			It	1	1	-3, 1, 7		7	-3
45	45	0	0	2/2	4	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
45	45	1/4	1/4	2/2	4	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
45	45	1/2	1/2	2/2	4	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
45	45	3/4	3/4	2/2	4	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
46	46	0	0	2/2	4	1	V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
47	47	0	0	2/2	4	1	i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
48	48	0	0	2/2	4	1	#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
49	49	0	0	2/2	4	1	#viio6	g	i	i	#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
50	50	0	0	2/2	4	1	i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
51	51	0	0	2/2	4	1	#viio43/iv	g	i		#viio43/iv		#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
52	52	0	0	2/2	4	1	iv6	g	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
52	52	1/2	1/2	2/2	4	1	Ger6/V	g	i		Ger6/V	Ger	vii	o	65	b3	V/V			Ger	1	1	-3, 1, -2, 7		7	-3
53	53	0	0	2/2	4	1	@none	g	i		@none		@none							m	1	1				
56	56	1/4	1/4	2/2	4	1	#viio43\\	g	i		#viio43		#vii	o	43				\\	o7	1	1	-1, -4, 5, 2		5	-1
57	57	0	0	2/2	4	1	i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
57	57	1/2	1/2	2/2	4	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
58	58	0	0	2/2	4	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
58	58	1/2	1/2	2/2	4	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
58	58	3/4	3/4	2/2	4	1	V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
58	58	7/8	7/8	2/2	4	1	V	g	i		V		V							M	1	1	1, 5, 2		1	1
59	59	0	0	2/2	4	1	i\\	g	i		i		i						\\	m	1	1	0, -3, 1		0	0
60	60	0	0	2/2	4	1	iv64	g	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
60	60	1/2	1/2	2/2	4	1	V7(4)/iv	g	i		V7(4)/iv		V		7	4	iv			Mm7	1	1	0, -1, 1, -2		0	0
60	60	5/8	5/8	2/2	4	1	V7/iv	g	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
61	61	0	0	2/2	4	1	iv64(11)	g	i		iv64(11)		iv		64	11				m	1	1	0, -1, -4	-2	-1	0
61	61	1/8	1/8	2/2	4	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
61	61	1/2	1/2	2/2	4	1	V/iv	g	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
61	61	3/4	3/4	2/2	4	1	V(64)/iv	g	i		V(64)/iv		V			64	iv			M	1	1	0, -1, -4		0	0
61	61	7/8	7/8	2/2	4	1	V7/iv	g	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
62	62	0	0	2/2	4	1	iv64	g	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
62	62	1/2	1/2	2/2	4	1	V7(4)/iv	g	i		V7(4)/iv		V		7	4	iv			Mm7	1	1	0, -1, 1, -2		0	0
62	62	3/4	3/4	2/2	4	1	V7/iv	g	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
63	63	0	0	2/2	4	1	iv64(11)	g	i		iv64(11)		iv		64	11				m	1	1	0, -1, -4	-2	-1	0
63	63	1/8	1/8	2/2	4	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
63	63	1/2	1/2	2/2	4	1	V/iv	g	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
63	63	3/4	3/4	2/2	4	1	V(64)/iv	g	i		V(64)/iv		V			64	iv			M	1	1	0, -1, -4		0	0
63	63	7/8	7/8	2/2	4	1	V7/iv	g	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
64	64	0	0	2/2	4	1	iv	g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
65	65	0	0	2/2	4	1	#viio65	g	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
66	66	0	0	2/2	4	1	V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
67	67	0	0	2/2	4	1	i(4)	g	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
67	67	1/8	1/8	2/2	4	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
67	67	1/4	1/4	2/2	4	1	iio6(2)	g	i		iio6(2)		ii	o	6	2				o	1	1	-1, -4, -3		2	-1
67	67	3/8	3/8	2/2	4	1	iio6	g	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
