mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	4	1	g.i	g	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	0	0	2/2	4	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	1/2	1/2	2/2	4	1	VI6	g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	3	0	0	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	1/4	1/4	2/2	4	1	VI6	g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	3	1/2	1/2	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	3/4	3/4	2/2	4	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	1/2	1/2	2/2	4	1	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1	1
5	5	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	2/2	4	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	6	1/2	1/2	2/2	4	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
7	7	1/4	1/4	2/2	4	1	iio	g	i		iio	ii	o						o	1	1	2, -1, -4		2	2
7	7	1/2	1/2	2/2	4	1	V(4)	g	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
7	7	3/4	3/4	2/2	4	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	0	0	2/2	4	1	i\\	g	i		i	i						\\	m	1	1	0, -3, 1		0	0
9	9	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
9	9	3/8	3/8	2/2	4	1	VI6	g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
10	10	0	0	2/2	4	1	#viio7	g	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
10	10	3/8	3/8	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
11	11	3/8	3/8	2/2	4	1	VI6	g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
12	12	0	0	2/2	4	1	#viio7	g	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
12	12	3/8	3/8	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
12	12	7/8	7/8	2/2	4	1	#viio	g	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
13	13	0	0	2/2	4	1	#viio43/iv	g	i		#viio43/iv	#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
13	13	1/2	1/2	2/2	4	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	0	0	2/2	4	1	viio43/V	g	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
14	14	1/2	1/2	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	15	0	0	2/2	4	1	@none	g	i		@none	@none							m	1	1				
15	15	3/4	3/4	2/2	4	1	V2	g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
16	16	0	0	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	16	1/4	1/4	2/2	4	1	V64	g	i		V64	V		64					M	1	1	2, 1, 5		1	2
16	16	1/2	1/2	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
16	16	3/4	3/4	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	17	0	0	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
17	17	1/4	1/4	2/2	4	1	@none	g	i		@none	@none							m	1	1				
17	17	3/4	3/4	2/2	4	1	V2	g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
18	18	0	0	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
18	18	1/4	1/4	2/2	4	1	V64	g	i		V64	V		64					M	1	1	2, 1, 5		1	2
18	18	1/2	1/2	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
18	18	3/4	3/4	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
19	19	0	0	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
19	19	1/4	1/4	2/2	4	1	@none	g	i		@none	@none							m	1	1				
21	21	0	0	2/2	4	1	#viio43	g	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
22	22	0	0	2/2	4	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
22	22	1/2	1/2	2/2	4	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
23	23	0	0	2/2	4	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
27	27	0	0	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
27	27	3/4	3/4	2/2	4	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
28	28	0	0	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
28	28	3/4	3/4	2/2	4	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	29	0	0	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
29	29	1/4	1/4	2/2	4	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	29	1/2	1/2	2/2	4	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
29	29	3/4	3/4	2/2	4	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
30	30	0	0	2/2	4	1	V\\	g	i		V	V						\\	M	1	1	1, 5, 2		1	1
31	31	0	0	2/2	4	1	III.I	g	III		I	I							M	1	0	0, 4, 1		0	0
31	31	1/2	1/2	2/2	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
32	32	0	0	2/2	4	1	V43	g	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
32	32	1/2	1/2	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
33	33	0	0	2/2	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
33	33	1/2	1/2	2/2	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
34	34	0	0	2/2	4	1	V43	g	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
34	34	1/2	1/2	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
35	35	0	0	2/2	4	1	I\\	g	III		I	I						\\	M	1	0	0, 4, 1		0	0
36	36	0	0	2/2	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
37	37	0	0	2/2	4	1	viio6	g	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
38	38	0	0	2/2	4	1	viio	g	III		viio	vii	o						o	1	0	5, 2, -1		5	5
39	39	0	0	2/2	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
40	40	0	0	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
41	41	0	0	2/2	4	1	I	g	III		I	I							M	1	0	0, 4, 1		0	0
42	42	0	0	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
43	43	0	0	2/2	4	1	I\\	g	III		I	I						\\	M	1	0	0, 4, 1		0	0
43	43	1/2	1/2	2/2	4	1	vi6	g	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
44	44	0	0	2/2	4	1	V6(2)	g	III		V6(2)	V		6	2				M	1	0	5, 2, 3		1	5
44	44	3/8	3/8	2/2	4	1	V6	g	III		V6	V		6					M	1	0	5, 2, 1		1	5
45	45	0	0	2/2	4	1	vi	g	III		vi	vi							m	1	0	3, 0, 4		3	3
45	45	3/8	3/8	2/2	4	1	IV6	g	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
45	45	1/2	1/2	2/2	4	1	I64(+#2)	g	III		I64(+#2)	I		64	+#2				M	1	0	1, 0, 4	9	0	1
45	45	7/8	7/8	2/2	4	1	I64	g	III		I64	I		64					M	1	0	1, 0, 4		0	1
46	46	0	0	2/2	4	1	IV(+#2)	g	III		IV(+#2)	IV			+#2				M	1	0	-1, 3, 0	8	-1	-1
46	46	3/8	3/8	2/2	4	1	IV	g	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
46	46	1/2	1/2	2/2	4	1	I6(+#4)	g	III		I6(+#4)	I		6	+#4				M	1	0	4, 1, 0	6	0	4
46	46	7/8	7/8	2/2	4	1	I6	g	III		I6	I		6					M	1	0	4, 1, 0		0	4
47	47	0	0	2/2	4	1	V7(+#7)	g	III		V7(+#7)	V		7	+#7				Mm7	1	0	1, 5, 2, -1	6	1	1
47	47	3/8	3/8	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
47	47	1/2	1/2	2/2	4	1	V(+#764)	g	III		V(+#764)	V			+#764				M	1	0	1, 0, 4	6	1	1
47	47	7/8	7/8	2/2	4	1	V(64)	g	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
48	48	0	0	2/2	4	1	V7(+#7)	g	III		V7(+#7)	V		7	+#7				Mm7	1	0	1, 5, 2, -1	6	1	1
48	48	3/8	3/8	2/2	4	1	V7	g	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
48	48	1/2	1/2	2/2	4	1	V7(+#7)	g	III		V7(+#7)	V		7	+#7				Mm7	1	0	1, 5, 2, -1	6	1	1
